,name,in_degree,name,out_degree,name,cluster_coe,name,totalExportValue,name,totalImportValue,name,selectedExportValue,name,selectedImportValue
0,"Hong Kong, China",179,Australia,9,Andorra,1,China,2.97125E+11,"Saudi Arabia, Kingdom of",94316033130,United States of America,2138466622,"Saudi Arabia, Kingdom of",4147807234
1,Chinese Taipei,179,Brazil,9,Central African Republic,1,United States of America,76806535855,Chinese Taipei,9382199000,Egypt,419901158,Colombia,118395376
2,"Saudi Arabia, Kingdom of",175,China,9,"Macao, China",1,Chinese Taipei,74562023954,Philippines,2415538722,India,398526896,Samoa,33396648
3,Colombia,159,New Zealand,9,Nicaragua,1,Japan,73560831202,Colombia,1367058974,New Zealand,364700615,Qatar,1232850
4,Philippines,159,Singapore,9,Djibouti,1,"Korea, Republic of",58737304756,Qatar,596070787,Jordan,309644172,Philippines,514561
5,Myanmar,138,United States of America,9,Montenegro,1,Malaysia,32368734849,Samoa,166889682,United Arab Emirates,267513717,"Hong Kong, China",472758
6,Botswana,134,Austria,9,Bhutan,1,India,26794200149,Botswana,27149084,Spain,258098497,Chinese Taipei,81000
7,Qatar,129,Bangladesh,9,Mongolia,1,Singapore,26772999308,Myanmar,16762981,Netherlands,219499861,Botswana,72540
8,Samoa,57,Belgium,9,Niger,1,Germany,24810068832,"Hong Kong, China",2460339,South Africa,217631576,Myanmar,38640
9,Australia,0,Canada,9,Senegal,1,Thailand,23774706410,Australia,0,Syrian Arab Republic,209362233,Australia,0
