code,iso3A,name,latitude,longitude
524,NPL,Nepal,28.394857,84.124008
528,NLD,Netherlands,52.132633,5.291266
530,ANT,Netherlands Antilles,12.226079,-69.060087
532,,Netherlands Antilles (incl. Aruba),12.5211,69.9683
540,NCL,New Caledonia,-20.904305,165.618042
554,NZL,New Zealand,-40.900557,174.885971
558,NIC,Nicaragua,12.865416,-85.207229
562,NER,Niger,17.607789,8.081666
566,NGA,Nigeria,9.081999,8.675277
570,NIU,Niue,-19.054445,-169.867233
807,MKD,North Macedonia,41.608635,21.745275
580,MNP,Northern Mariana Islands,17.33083,145.38469
578,NOR,Norway,60.472024,8.468946
512,OMN,Oman,21.512583,55.923255
586,PAK,Pakistan,30.375321,69.345116
585,PLW,Palau,7.51498,134.58252
275,PSE,Palestine,31.952162,35.233154
591,PAN,Panama,8.537981,-80.782127
598,PNG,Papua New Guinea,-6.314993,143.95555
600,PRY,Paraguay,-23.442503,-58.443832
604,PER,Peru,-9.189967,-75.015152
608,PHL,Philippines,12.879721,121.774017
616,POL,Poland,51.919438,19.145136
620,PRT,Portugal,39.399872,-8.224454
634,QAT,Qatar,25.354826,51.183884
642,ROM,Romania,45.9432,24.9668
643,RUS,Russian Federation,61.52401,105.318756
646,RWA,Rwanda,-1.940278,29.873888
659,KNA,Saint Kitts and Nevis,17.357822,-62.782998
662,LCA,Saint Lucia,13.909444,-60.978893
534,SXM,Saint Martin,18.0718,63.0501
666,SPM,Saint Pierre and Miquelon,46.941936,-56.27111
670,VCT,Saint Vincent and the Grenadines,12.984305,-61.287228
882,WSM,Samoa,-13.759029,-172.104629
678,STP,Sao Tomé and Principe,0.18636,6.613081
682,SAU,"Saudi Arabia, Kingdom of",23.885942,45.079162
686,SEN,Senegal,14.497401,-14.452362
892,SRB,Serbia,44.016521,21.005859
690,SYC,Seychelles,-4.679574,55.491977
694,SLE,Sierra Leone,8.460555,-11.779889
702,SGP,Singapore,1.352083,103.819836
703,SVK,Slovak Republic,48.669026,19.699024
705,SVN,Slovenia,46.151241,14.995463
090,SLB,Solomon Islands,-9.64571,160.156194
706,SOM,Somalia,5.152149,46.199616
710,ZAF,South Africa,-30.559482,22.937506
728,SSD,South Sudan,6.877,31.307
724,ESP,Spain,40.463667,-3.74922
144,LKA,Sri Lanka,7.873054,80.771797
736,SDN,Sudan,12.862807,30.217636
740,SUR,Suriname,3.919305,-56.027783
752,SWE,Sweden,60.128161,18.643501
756,CHE,Switzerland,46.818188,8.227512
760,SYR,Syrian Arab Republic,34.802075,38.996815
158,CHT,Chinese Taipei,23.6978,120.9605
762,TJK,Tajikistan,38.861034,71.276093
834,TZA,Tanzania,-6.369028,34.888822
764,THA,Thailand,15.870032,100.992541
626,TLS,Timor-Leste,-8.874217,125.727539
768,TGO,Togo,8.619543,0.824782
772,TKL,Tokelau,-8.967363,-171.855881
776,TON,Tonga,-21.178986,-175.198242
780,TTO,Trinidad and Tobago,10.691803,-61.222503
788,TUN,Tunisia,33.886917,9.537499
792,TUR,Turkey,38.963745,35.243322
795,TKM,Turkmenistan,38.969719,59.556278
796,TCA,Turks and Caicos Islands,21.694025,-71.797928
798,TUV,Tuvalu,-7.109535,177.64933
800,UGA,Uganda,1.373333,32.290275
804,UKR,Ukraine,48.379433,31.16558
784,ARE,United Arab Emirates,23.424076,53.847818
826,GBR,United Kingdom,55.378051,-3.435973
840,USA,United States of America,37.09024,-95.712891
888,,UNMIK/Kosovo,42.6026,20.903
858,URY,Uruguay,-32.522779,-55.765835
860,UZB,Uzbekistan,41.377491,64.585262
548,VUT,Vanuatu,-15.376706,166.959158
862,VEN,"Venezuela, Bolivarian Republic of",6.42375,-66.58973
704,VNM,Viet Nam,14.058324,108.277199
092,VGB,"Virgin Islands, British",18.420695,-64.639968
876,WLF,Wallis and Futuna Islands,-13.768752,-177.156097
887,YEM,Yemen,15.552727,48.516388
894,ZMB,Zambia,-13.133897,27.849332
716,ZWE,Zimbabwe,-19.015438,29.154857
