,name,cluster_coe
0,United States of America,0.002019660913237539
1,China,0.002019660913237539
2,Thailand,0.002019660913237539
3,Canada,0.0018194722453069362
4,Mexico,0.0018194722453069362
5,Singapore,0.0017612005336194475
6,Chinese Taipei,0.0017574052668562564
7,"Korea, Republic of",0.0017559419385563605
8,Australia,0.0017233522769304946
9,Brazil,0.0017045708973880528
